season_hr_rate,recent_hr_rate,avg_exit_velocity,hard_hit_rate,barrel_rate,avg_launch_angle,pitcher_hr_rate,expected_plate_appearances,home_run
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
0.0,0.0,89.725,0.125,0.0,13.25,0.0,4.0,0
0.0,0.0,80.9875,0.125,0.0,22.5,0.0,4.0,0
0.0,0.0,79.3111111111111,0.1111111111111111,0.0,24.444444444444443,0.0,3.3333333333333335,0
0.0,0.0,84.31666666666666,0.16666666666666666,0.0,22.833333333333332,0.0,3.25,0
0.0,0.0,84.46923076923076,0.15384615384615385,0.0,24.76923076923077,0.0,2.8,0
0.0,0.0,85.22142857142856,0.17857142857142858,0.0,26.428571428571427,0.0,2.5,0
0.0,0.0,85.04117647058823,0.17647058823529413,0.0,20.88235294117647,0.038461538461538464,2.4285714285714284,0
0.0,0.0,84.04736842105262,0.15789473684210525,0.0,19.57894736842105,0.0,2.25,0
0.0,0.0,88.0,0.0,0.0,12.0,0.0,2.3333333333333335,0
0.0,0.0,82.12916666666666,0.2916666666666667,0.0,18.291666666666668,0.0625,2.2,0
0.0,0.0,82.58076923076922,0.2692307692307692,0.0,18.0,0.05128205128205128,2.1,0
0.0,0.0,82.97777777777777,0.25925925925925924,0.0,19.444444444444443,0.04,1.9,0
0.0,0.0,82.60357142857141,0.25,0.0,20.714285714285715,0.013888888888888888,1.9,0
0.0,0.0,83.10000000000001,0.21875,0.0,21.71875,0.0,1.9,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
0.0,0.0,80.85454545454546,0.09090909090909091,0.0,17.363636363636363,0.0,4.0,0
0.0,0.0,82.23333333333333,0.125,0.0,16.25,0.0,2.5,0
0.0,0.0,82.01875,0.125,0.0,10.75,0.0,2.6666666666666665,0
0.0,0.0,80.15,0.2,0.0,9.8,0.0,2.5,0
0.0,0.0,81.79230769230769,0.23076923076923078,0.0,11.5,0.0,2.8,0
0.0,0.0,79.16470588235293,0.17647058823529413,0.0,13.470588235294118,0.0,2.8333333333333335,0
0.0,0.0,79.0078947368421,0.15789473684210525,0.0,13.473684210526315,0.0,3.0,0
0.0,0.0,79.66190476190475,0.16666666666666666,0.0,14.095238095238095,0.0,2.875,0
0.0,0.0,79.23333333333333,0.16666666666666666,0.0,14.645833333333334,0.0,3.111111111111111,0
0.0,0.0,77.31666666666666,0.14814814814814814,0.0,15.87037037037037,0.0,3.2,0
0.0,0.0,77.01636363636365,0.14545454545454545,0.0,16.509090909090908,0.0,2.9,0
0.0,0.0,77.985,0.18333333333333332,0.0,16.316666666666666,0.07407407407407407,3.3,0
0.0,0.0,77.72258064516129,0.1774193548387097,0.0,17.887096774193548,0.011363636363636364,3.1,0
0.0,0.0,77.94307692307693,0.18461538461538463,0.0,17.676923076923078,0.007751937984496124,3.2,0
0.0,0.0,77.85522388059702,0.1791044776119403,0.0,17.73134328358209,0.0,3.0,0
0.0,0.0,78.21617647058824,0.19117647058823528,0.0,17.691176470588236,0.025,2.8,0
0.0,0.0,78.31142857142858,0.18571428571428572,0.0,18.814285714285713,0.058823529411764705,2.6,0
0.0,0.0,79.09333333333333,0.2,0.0,18.48,0.0,2.7,0
0.0,0.0,88.0,0.0,0.0,12.0,0.0,2.6,0
0.0,0.0,79.27125,0.225,0.0125,18.5625,0.0,2.3,0
0.0,0.0,79.51481481481481,0.2345679012345679,0.012345679012345678,18.135802469135804,0.07142857142857142,2.3,0
0.0,0.0,79.87058823529412,0.23529411764705882,0.011764705882352941,18.905882352941177,0.0,2.0,0
0.0,0.0,81.10760869565217,0.25,0.021739130434782608,18.25,0.0,2.3,0
0.0,0.0,81.1621052631579,0.25263157894736843,0.021052631578947368,17.757894736842104,0.07272727272727272,2.2,1
0.015384615384615385,0.047619047619047616,81.35000000000001,0.2604166666666667,0.03125,17.833333333333332,0.029411764705882353,2.1,0
0.014705882352941176,0.043478260869565216,81.40612244897959,0.2653061224489796,0.030612244897959183,17.96938775510204,0.03821656050955414,2.3,0
0.014084507042253521,0.041666666666666664,81.69215686274511,0.2647058823529412,0.0392156862745098,18.235294117647058,0.01282051282051282,2.4,0
0.013888888888888888,0.045454545454545456,81.75145631067961,0.2621359223300971,0.038834951456310676,18.78640776699029,0.03333333333333333,2.2,0
0.0136986301369863,0.05263157894736842,82.02190476190478,0.2761904761904762,0.0380952380952381,18.323809523809523,0.03125,1.9,0
0.013513513513513514,0.05263157894736842,82.21320754716982,0.2830188679245283,0.03773584905660377,18.30188679245283,0.0,1.9,0
0.013333333333333334,0.05263157894736842,82.14392523364485,0.2803738317757009,0.037383177570093455,17.785046728971963,0.0,1.9,0
0.013157894736842105,0.05555555555555555,82.16111111111111,0.2777777777777778,0.037037037037037035,17.72222222222222,0.0,1.8,0
0.012658227848101266,0.058823529411764705,82.76428571428572,0.29464285714285715,0.03571428571428571,17.419642857142858,0.041666666666666664,1.7,1
0.023809523809523808,0.1,83.15555555555555,0.3076923076923077,0.042735042735042736,16.752136752136753,0.023255813953488372,2.0,0
0.022727272727272728,0.043478260869565216,83.34132231404958,0.3140495867768595,0.049586776859504134,17.074380165289256,0.0,2.3,0
0.02247191011235955,0.047619047619047616,83.35887096774194,0.31451612903225806,0.04838709677419355,17.508064516129032,0.08,2.1,0
0.02197802197802198,0.05,83.17786259541984,0.31297709923664124,0.04580152671755725,18.0,0.03773584905660377,2.0,0
0.02127659574468085,0.045454545454545456,83.27555555555556,0.3111111111111111,0.044444444444444446,17.25925925925926,0.028,2.2,0
0.020618556701030927,0.041666666666666664,82.92700729927007,0.30656934306569344,0.043795620437956206,16.62043795620438,0.01639344262295082,2.4,0
0.019801980198019802,0.037037037037037035,82.92517482517482,0.3006993006993007,0.04195804195804196,16.566433566433567,0.02857142857142857,2.7,0
0.019417475728155338,0.03571428571428571,82.67862068965518,0.296551724137931,0.041379310344827586,16.889655172413793,0.02608695652173913,2.8,0
0.018867924528301886,0.03333333333333333,82.78378378378379,0.2972972972972973,0.04054054054054054,16.33783783783784,0.02702702702702703,3.0,0
0.018691588785046728,0.03571428571428571,82.72450331125827,0.2913907284768212,0.039735099337748346,17.185430463576157,0.03571428571428571,2.8,0
0.018018018018018018,0.0,82.71210191082803,0.28662420382165604,0.03821656050955414,17.611464968152866,0.00909090909090909,2.7,0
0.017857142857142856,0.0,82.74620253164557,0.2848101265822785,0.0379746835443038,17.645569620253166,0.016304347826086956,2.4,0
0.017241379310344827,0.0,82.90493827160493,0.29012345679012347,0.037037037037037035,17.17283950617284,0.028735632183908046,2.7,0
0.01680672268907563,0.0,82.93392857142857,0.2857142857142857,0.03571428571428571,17.148809523809526,0.0673076923076923,2.8,0
0.016260162601626018,0.0,82.59479768786127,0.2832369942196532,0.03468208092485549,17.283236994219653,0.0,2.9,0
0.016129032258064516,0.0,82.58218390804598,0.28160919540229884,0.034482758620689655,17.304597701149426,0.02142857142857143,2.7,0
