batter,season_hr_rate,recent_hr_rate,avg_exit_velocity,hard_hit_rate,barrel_rate,avg_launch_angle,pitcher_hr_rate,expected_plate_appearances
457705,0.0,0.0,83.10000000000001,0.21875,0.0,21.71875,0.020833333333333332,1.9
500743,0.013513513513513514,0.0,82.38277511961722,0.27751196172248804,0.028708133971291867,18.267942583732058,0.020833333333333332,2.3
502671,0.05537459283387622,0.07142857142857142,82.1706329113924,0.21772151898734177,0.053164556962025315,19.544303797468356,0.020833333333333332,2.8
506702,0.0,0.0,76.4578125,0.109375,0.0,22.125,0.020833333333333332,2.4
514888,0.03353658536585366,0.024390243902439025,79.35738498789345,0.2009685230024213,0.021791767554479417,12.467312348668282,0.020833333333333332,4.1
516782,0.015384615384615385,0.03571428571428571,78.56918604651163,0.20930232558139536,0.046511627906976744,15.063953488372093,0.020833333333333332,2.8
518595,0.034482758620689655,0.0,83.72500000000001,0.21875,0.0625,18.09375,0.020833333333333332,2.2
518692,0.027842227378190254,0.0,82.515749235474,0.22782874617737003,0.03058103975535168,17.863914373088686,0.020833333333333332,4.5
521692,0.030226700251889168,0.022727272727272728,82.5492385786802,0.23688663282571912,0.049069373942470386,20.524534686971236,0.020833333333333332,4.4
542303,0.03205128205128205,0.029411764705882353,84.59344262295082,0.2677595628415301,0.03278688524590164,20.295081967213115,0.020833333333333332,3.4
543309,0.04580152671755725,0.06060606060606061,82.06024096385542,0.22289156626506024,0.03614457831325301,21.53012048192771,0.020833333333333332,3.3
543510,0.04878048780487805,0.0,82.70404040404041,0.30303030303030304,0.06060606060606061,15.252525252525253,0.020833333333333332,3.5
543760,0.039634146341463415,0.0,81.8465721040189,0.20094562647754138,0.03309692671394799,19.67612293144208,0.020833333333333332,4.0
543807,0.03287671232876712,0.05555555555555555,81.7031746031746,0.20634920634920634,0.03373015873015873,14.718253968253968,0.020833333333333332,3.6
543877,0.02702702702702703,0.07142857142857142,78.90115830115829,0.13127413127413126,0.011583011583011582,16.656370656370655,0.020833333333333332,2.8
545121,0.00911854103343465,0.0,81.70960334029228,0.24425887265135698,0.014613778705636743,12.313152400835072,0.020833333333333332,4.0
545341,0.06179775280898876,0.11764705882352941,85.0650406504065,0.2967479674796748,0.06097560975609756,20.723577235772357,0.020833333333333332,1.7
545361,0.026595744680851064,0.0,81.38618421052631,0.21710526315789475,0.06140350877192982,21.16885964912281,0.020833333333333332,4.5
547180,0.04719101123595506,0.045454545454545456,83.90702702702701,0.25405405405405407,0.05045045045045045,16.76036036036036,0.020833333333333332,4.4
553869,0.02824858757062147,0.03333333333333333,81.4436,0.232,0.04,16.992,0.020833333333333332,3.0
553993,0.052795031055900624,0.05128205128205128,83.86078431372549,0.23809523809523808,0.05322128851540616,18.859943977591037,0.020833333333333332,3.9
571448,0.041237113402061855,0.024390243902439025,82.36102661596958,0.2376425855513308,0.028517110266159697,20.768060836501903,0.020833333333333332,4.1
571657,0.0,0.0,83.69999999999999,0.0,0.0,78.0,0.020833333333333332,1.0
